topic_id,name,n,n_2024,n_2026,growth_ratio,ai_rate,median_yoe,junior_share,mid_share,senior_share,top_words,top_firms,top_metros
16,android_applications/jetpack/android_development,329,141,188,1.3309859154929577,0.08206686930091185,5.0,0.0243161094224924,0.0,0.5440729483282675,"android applications, jetpack, android development, compose, sdk, experience android, mvvm, android studio, kotlin java, java kotlin","Rivian and Volkswagen Group Technologies, Experient Group, Intuit, Robinhood, GlobalLogic","San Francisco Bay Area, Atlanta Metro, Seattle Metro"
17,plc/automation_engineer/automation_systems,279,233,46,0.20085470085470086,0.010752688172043012,5.0,0.02867383512544803,0.0035842293906810036,0.4157706093189964,"plc, automation engineer, automation systems, plant, rockwell, hmi, process control, scada, plcs, commissioning","BioSpace, United Consulting Hub, Piper Companies, West Pharmaceutical Services, Hamlyn Williams","Boston Metro, Raleigh-Durham-Chapel Hill, Los Angeles Metro"
18,robotic/robot/perception,267,102,165,1.6116504854368932,0.2397003745318352,5.0,0.03745318352059925,0.0,0.550561797752809,"robotic, robot, perception, robots, motion, localization, robotic systems, calibration, robotics software, ros","Anduril Industries, Nuro, Apptronik, FieldAI, Applied Intuition","San Francisco Bay Area, Los Angeles Metro, Boston Metro"
19,apex/lightning/salesforce_platform,264,187,77,0.4148936170212766,0.03409090909090909,5.0,0.007575757575757576,0.003787878787878788,0.6363636363636364,"apex, lightning, salesforce platform, salesforce developer, visualforce, experience salesforce, lightning web, salesforce development, platform developer, web components","Deloitte, CGI, PETADATA, ISN Corp, S&P Global","Dallas-Fort Worth Metro, Washington DC Metro, Houston Metro"
20,trading/traders/trading_systems,258,121,137,1.1311475409836065,0.03488372093023256,5.0,0.05426356589147287,0.015503875968992248,0.4883720930232558,"trading, traders, trading systems, quant, market data, financial markets, quants, low latency, pricing, quantitative researchers","Selby Jennings, maven, Goliath Partners, Goldman Sachs, DRW","Chicago Metro, New York City Metro, Salt Lake City Metro"
21,swiftui/ios_development/xcode,228,83,145,1.7380952380952381,0.13596491228070176,5.0,0.04824561403508772,0.0,0.45614035087719296,"swiftui, ios development, xcode, objectivec, apple, app store, experience ios, mvvm, sdk, core data","WHOOP, Visionary Innovative Technology Solutions LLC, Sesame, ClifyX, Duolingo","San Francisco Bay Area, Dallas-Fort Worth Metro, New York City Metro"
22,using_angular/experience_angular/angular_typescript,225,94,131,1.3894736842105264,0.12444444444444444,7.0,0.0,0.0044444444444444444,0.4222222222222222,"using angular, experience angular, angular typescript, rxjs, stack developer, ngrx, ui components, java angular, karma, jasmine","Divit Technologies, Inc., Eliassen Group, CGI, Trebecon LLC, Rose International","Dallas-Fort Worth Metro, Washington DC Metro, Atlanta Metro"
23,moderately_complex/peoplesoft/erp,204,117,87,0.7457627118644068,0.06372549019607843,5.0,0.04411764705882353,0.00980392156862745,0.5147058823529411,"moderately complex, peoplesoft, erp, testing implementation, maximo, complex solutions, users management, support highly, enterprise application, modifies","Vanguard, Truist, GA-CCRi, NiCE, Inside Higher Ed","Atlanta Metro, Philadelphia Metro, Los Angeles Metro"
24,redux/webpack/jest,202,106,96,0.9065420560747663,0.06930693069306931,5.0,0.009900990099009901,0.0,0.4752475247524752,"redux, webpack, jest, using reactjs, state management, react testing, babel, testing library, react js, context api","Photon, InfoVision Inc., Visionary Innovative Technology Solutions LLC, Horizontal Talent, New York Technology Partners","Dallas-Fort Worth Metro, San Francisco Bay Area, Salt Lake City Metro"
25,frontend_engineer/frontend_architecture/frontend_applications,201,78,123,1.5696202531645569,0.15422885572139303,5.0,0.03980099502487562,0.0,0.4577114427860697,"frontend engineer, frontend architecture, frontend applications, nextjs, browser, rendering, state management, backend engineers, frontend engineering, senior frontend","Sigma, Sift, Verkada, Forward, HireTalent - Diversity Staffing & Recruiting Firm","San Francisco Bay Area, New York City Metro, Chicago Metro"
26,reliability_engineer/plant/preventive,200,118,82,0.6974789915966386,0.01,5.0,0.015,0.0,0.31,"reliability engineer, plant, preventive, predictive, repair, repairs, reliability engineering, preventive maintenance, predictive maintenance, vibration","CBRE, Cushman & Wakefield, JLL, Allied Reliability, Jobot","Los Angeles Metro, Chicago Metro, Boston Metro"
27,money/blockchain/stripe,190,56,134,2.3684210526315788,0.17894736842105263,5.0,0.031578947368421054,0.005263157894736842,0.6736842105263158,"money, blockchain, stripe, merchants, mortgage, reconciliation, fintech, merchant, global scale, financial products","Visa, Affirm, Stripe, Robinhood, Rippling","San Francisco Bay Area, Austin Metro, Salt Lake City Metro"
28,perception/deep_learning/autonomous_driving,187,38,149,3.8461538461538463,0.24064171122994651,4.0,0.0481283422459893,0.0,0.5828877005347594,"perception, deep learning, autonomous driving, pytorch, inference, learning models, tensorflow, lidar, sensor data, multimodal","Zoox, Waymo, General Motors, Torc Robotics, Woven by Toyota","San Francisco Bay Area, Detroit Metro, Los Angeles Metro"
29,servicenow/itsm/servicenow_platform,182,110,72,0.6576576576576577,0.04945054945054945,5.0,0.016483516483516484,0.005494505494505495,0.45604395604395603,"servicenow, itsm, servicenow platform, cmdb, experience servicenow, itil, catalog, service management, business rules, service catalog","Alldus, Infosys, Technosavys, Tata Consultancy Services, PRI Technology","Washington DC Metro, Dallas-Fort Worth Metro, Columbus Metro"
30,power_systems/transmission/electric,175,92,83,0.9032258064516129,0.017142857142857144,5.0,0.04,0.005714285714285714,0.41714285714285715,"power systems, transmission, electric, voltage, grid, relay, solar, experience power, power distribution, ems","Schneider Electric, Electric Power Engineers, Aspen Technology, Siemens, Hitachi Energy","San Francisco Bay Area, Raleigh-Durham-Chapel Hill, Austin Metro"
31,react_native/ios_android/mobile_development,174,93,81,0.8723404255319149,0.09770114942528736,5.0,0.017241379310344827,0.0,0.5632183908045977,"react native, ios android, mobile development, mobile apps, native mobile, app store, mobile application, redux, experience mobile, android platforms","CrowdDoing, Skillz, HYR Global Source Inc, Avesta Computer Services, GBIT (Global Bridge InfoTech Inc)","Boston Metro, Dallas-Fort Worth Metro, Atlanta Metro"
32,azure_cloud/cloud_engineer/experience_azure,163,80,83,1.037037037037037,0.03680981595092025,5.0,0.006134969325153374,0.0,0.44171779141104295,"azure cloud, cloud engineer, experience azure, azure ad, azure infrastructure, azure networking, azure environments, paas, azure monitor, directory","Ahold Delhaize USA, Microsoft, Motion Recruitment, LightFeather, Berkley Technology Services","New York City Metro, Dallas-Fort Worth Metro, Washington DC Metro"
33,quality_management/qms/quality_systems,161,96,65,0.6804123711340206,0.031055900621118012,5.0,0.037267080745341616,0.018633540372670808,0.40993788819875776,"quality management, qms, quality systems, inspection, supplier, quality engineer, corrective action, experience quality, sigma, inspections","Love's Travel Stops, Hologic, Inc., Curtiss-Wright Corporation, Boeing, Actalent","Los Angeles Metro, San Francisco Bay Area, Boston Metro"
34,hpc/compiler/cuda,160,67,93,1.3823529411764706,0.20625,5.0,0.04375,0.0,0.50625,"hpc, compiler, cuda, nvidia, gpus, deep learning, kernel, kernels, pytorch, inference","AMD, NVIDIA, KLA, Alignerr, Luxoft","San Francisco Bay Area, Austin Metro, Detroit Metro"
35,requirements_management/subsystem/verification_validation,156,133,23,0.1791044776119403,0.0,6.0,0.02564102564102564,0.0,0.6282051282051282,"requirements management, subsystem, verification validation, doors, interface control, trade studies, se, functional analysis, total systems, derived","Columbia Technology Partners, STERIS, Applied Materials, MillenniumSoft Inc, L3Harris Technologies","Washington DC Metro, Boston Metro, Minneapolis-Saint Paul"
36,climate/nextjs/fullstack_engineer,136,40,96,2.3658536585365852,0.375,4.0,0.058823529411764705,0.007352941176470588,0.45588235294117646,"climate, nextjs, fullstack engineer, founding, nodejs python, typescript nodejs, features endtoend, build ship, product direction, internal tools","Nooks, Acceler8 Talent, Adept, Watershed, Tanium","San Francisco Bay Area, New York City Metro, Salt Lake City Metro"
37,mainframe/cobol/jcl,134,109,25,0.23636363636363636,0.007462686567164179,6.0,0.007462686567164179,0.029850746268656716,0.30597014925373134,"mainframe, cobol, jcl, cics, zos, ims, line business, tso, software changes, provide operational","Lorven Technologies Inc., Fidelity Investments, Extend Information Systems Inc., Dminds Solutions Inc., Software Technology Inc.","Cincinnati Metro, Dallas-Fort Worth Metro, Detroit Metro"
38,flutter/ios_android/mobile_development,122,43,79,1.8181818181818181,0.20491803278688525,5.0,0.01639344262295082,0.0,0.6639344262295082,"flutter, ios android, mobile development, mobile application, experience mobile, dart, android ios, native mobile, app development, app store","MetroStar, Block, CVS Health, Abbott, The RealReal","San Francisco Bay Area, Washington DC Metro, Los Angeles Metro"
39,experience_golang/golang_experience/scalable_backend,115,62,53,0.8571428571428571,0.10434782608695652,5.0,0.0,0.0,0.6086956521739131,"experience golang, golang experience, scalable backend, python golang, expectation, proficiency golang, backend software, templating, payload, working microservices","Motion Recruitment Partners LLC, UrBench, LLC, Synergy Interactive, Palo Alto Networks, Stand8 Technology Consulting","San Francisco Bay Area, Atlanta Metro, Dallas-Fort Worth Metro"
40,satellite/spacecraft/space_systems,112,76,36,0.4805194805194805,0.0,6.5,0.0625,0.0,0.6071428571428571,"satellite, spacecraft, space systems, antenna, nasa, ground systems, rf, satellite communications, subsystem, missions","Modern Technology Solutions, Inc. (MTSI), Iridium, BLUE ORIGIN, EVONA, KBR Careers","Los Angeles Metro, Washington DC Metro, Denver Metro"
41,ruby_rails/experience_ruby/rails_experience,112,59,53,0.9,0.09821428571428571,5.0,0.017857142857142856,0.008928571428571428,0.6964285714285714,"ruby rails, experience ruby, rails experience, austin, backend web, senior engineering, nocode, staging, continuing, airline","Procore Technologies, Kikoff, Spring Health, TALENT Software Services, WeInfuse","San Francisco Bay Area, Austin Metro, Chicago Metro"
42,game/xr/games,110,54,56,1.0363636363636364,0.045454545454545456,5.0,0.045454545454545456,0.00909090909090909,0.4909090909090909,"game, xr, games, unreal, game development, artists, rendering, animation, unity, players","Blizzard Entertainment, Riot Games, Sony Interactive Entertainment, Crossing Hurdles, Respawn Entertainment","Los Angeles Metro, Seattle Metro, San Francisco Bay Area"
43,medical_device/medical_devices/fda,94,44,50,1.1333333333333333,0.010638297872340425,5.0,0.02127659574468085,0.0,0.648936170212766,"medical device, medical devices, fda, iec, device software, verification validation, experience medical, device development, device industry, software medical","Abbott, Medtronic, Actalent, DivIHN Integration Inc, Katalyst HealthCares & Life Sciences","Minneapolis-Saint Paul, San Francisco Bay Area, Boston Metro"
44,computational/biological/biology,90,31,59,1.875,0.3888888888888889,5.0,0.022222222222222223,0.0,0.5666666666666667,"computational, biological, biology, bioinformatics, molecular, sequencing, biomedical, life sciences, chemistry, scientific data","Genentech, X, The Moonshot Factory, BioSpace, StaffRight Associates, Recursion","San Francisco Bay Area, Boston Metro, Salt Lake City Metro"
45,using_nodejs/nodejs_typescript/nextjs,90,47,43,0.9166666666666666,0.15555555555555556,5.0,0.011111111111111112,0.0,0.5666666666666667,"using nodejs, nodejs typescript, nextjs, nestjs, experience nodejs, expressjs, stack developer, react nodejs, state management, nodejs react","Reperio Human Capital, Comulate, NextGen IT Labs, Bilt, CyberCoders","San Francisco Bay Area, Charlotte Metro, Dallas-Fort Worth Metro"
46,stl/debugger/cmake,90,60,30,0.5081967213114754,0.03333333333333333,5.0,0.011111111111111112,0.0,0.4444444444444444,"stl, debugger, cmake, qt, development linux, lua, writing debugging, semiconductor, geometry, knowledge writing","Latitude Inc, VAST Data, Grey Matters Defense Solutions, LLC, Scientific Research Corporation, Esri","Washington DC Metro, San Francisco Bay Area, Denver Metro"
47,platform_gcp/gke/gcp_services,89,31,58,1.84375,0.11235955056179775,5.0,0.011235955056179775,0.0,0.33707865168539325,"platform gcp, gke, gcp services, experience google, federation, devops engineer, kubernetes engine, infrastructure google, cloud engineer, using terraform","HARAMAIN SYSTEMS INC., Valorem Reply, Akkodis Group Nordics, Google, LightFeather","San Francisco Bay Area, Washington DC Metro, Atlanta Metro"
48,derive_software/modify_existing/software_correct,89,52,37,0.7169811320754716,0.033707865168539325,8.0,0.0,0.0,0.34831460674157305,"derive software, modify existing, software correct, offtheshelf, swe, improving documentation, process standards, derive, recommendations improving, confer","Akina, Inc, Erias Ventures, Avid Technology Professionals, Columbia Technology Partners, SES Corporation","Washington DC Metro, Los Angeles Metro, San Francisco Bay Area"
49,engineering_management/se/technical_integrity,88,71,17,0.25,0.0,10.0,0.0,0.0,0.4659090909090909,"engineering management, se, technical integrity, engineering documentation, interface control, engineering plans, associated problems, issues conflicts, specifications interface, regarding systems","L3Harris Technologies, ManTech, NiSUS Technologies Corporation, Analytic Solutions Group, Onyx Point, LLC.","Washington DC Metro, St. Louis Metro, Denver Metro"
50,patient/deep_learning/imaging,87,17,70,3.9444444444444446,0.7701149425287356,5.0,0.034482758620689655,0.0,0.6551724137931034,"patient, deep learning, imaging, nlp, finetuning, ml systems, clinicians, pytorch, healthcare data, reconstruction","WHOOP, Masimo, FIT:MATCH.ai, Rivago Infotech Inc, DeepRec.ai","San Francisco Bay Area, Boston Metro, Los Angeles Metro"
51,years_noninternship/noninternship/key_job,86,31,55,1.75,0.20930232558139536,5.0,0.023255813953488372,0.0,0.47674418604651164,"years noninternship, noninternship, key job, scaling new, patterns reliability, reliability scaling, noninternship professional, reviews source, including coding, processes testing","Amazon Web Services (AWS), Amazon, myGwork - LGBTQ+ Business Community, Verkada, ECS","Seattle Metro, Washington DC Metro, San Francisco Bay Area"
52,intern/interns/engineer_intern,83,18,65,3.473684210526316,0.13253012048192772,,1.0,0.0,0.0,"intern, interns, engineer intern, summer, enrolled, june, currently enrolled, currently pursuing, pursuing bachelors, august","Intuitive, Scout Motors Inc., Cloudflare, ABC Fitness, Symbotic","Boston Metro, Chicago Metro, San Francisco Bay Area"
53,patient/pharmacy/healthcare_technology,82,37,45,1.2105263157894737,0.13414634146341464,5.0,0.10975609756097561,0.036585365853658534,0.6585365853658537,"patient, pharmacy, healthcare technology, application production, patients, experience healthcare, patient care, cvs, team deliverables, epic","CVS Health, ModMed, athenahealth, GE HealthCare, HCA Healthcare","Boston Metro, Nashville Metro, San Francisco Bay Area"
54,backend_engineer/senior_backend/scalable_backend,81,16,65,3.8823529411764706,0.1728395061728395,5.0,0.037037037037037035,0.012345679012345678,0.7037037037037037,"backend engineer, senior backend, scalable backend, understanding restful, proficiency backend, backend software, years backend, systems apis, closely frontend, backend engineering","Thomson Reuters, DoorDash, HappyRobot, CloudKitchens, Dexian","San Francisco Bay Area, Salt Lake City Metro, New York City Metro"
55,offtheshelf/swe/diverse_software,77,42,35,0.8372093023255814,0.012987012987012988,14.0,0.05194805194805195,0.03896103896103896,0.2597402597402597,"offtheshelf, swe, diverse software, complex diverse, based documented, extremely large, software correct, enhances complex, design include, reviews tests","Base-2 Solutions, Akina, Inc, Onyx Point, LLC., Columbia Technology Partners, NiSUS Technologies Corporation","Washington DC Metro, San Antonio Metro, Denver Metro"
56,fhir/patients/patient,72,37,35,0.9473684210526315,0.09722222222222222,5.0,0.027777777777777776,0.0,0.6111111111111112,"fhir, patients, patient, healthcare interoperability, healthcare data, ehr, hipaa, yoe, nosql experience, studio net","3 Key Consulting, Inc., Abbott, Zocdoc, Truveta, Signify Technology","San Francisco Bay Area, Los Angeles Metro, Boston Metro"
57,ads/advertising/netflix,71,15,56,3.5625,0.22535211267605634,6.0,0.0,0.0,0.647887323943662,"ads, advertising, netflix, campaign, loyalty, disney, aimlenabled, campaigns, tv, bidding","Expedia Group, Netflix, The Walt Disney Company, ESPN, Unity","San Francisco Bay Area, Los Angeles Metro, Seattle Metro"
58,okta/identity_access/directory,69,21,48,2.227272727272727,0.14492753623188406,5.0,0.043478260869565216,0.014492753623188406,0.6521739130434783,"okta, identity access, directory, access management, sso, scim, mfa, saml, active directory, oidc","Jobs for Humanity, Ford Motor Company, JPS Tech Solutions, Snowflake, Lambda","San Francisco Bay Area, Seattle Metro, Minneapolis-Saint Paul"
59,devops_engineer/azure_cloud/experience_azure,69,39,30,0.775,0.10144927536231885,5.0,0.014492753623188406,0.0,0.463768115942029,"devops engineer, azure cloud, experience azure, using azure, aks, nodejs angular, azure kubernetes, ado, technologies nodejs, pipelines azure","Capgemini Engineering, Yochana, Platinum Enterprise Solutions, Inc., Ampstek, Idexcel","Philadelphia Metro, Washington DC Metro, Salt Lake City Metro"
60,javascript_java/millions_americans/experience_does,68,50,18,0.37254901960784315,0.014705882352941176,6.0,0.014705882352941176,0.0,0.8823529411764706,"javascript java, millions americans, experience does, tech trends, americans, source frameworks, technology communities, managers deliver, internship experience, digital product","Capital One, Jobs for Humanity, ClickJobs.io, SimplyApply, Intelliforce-IT Solutions Group, LLC.","Washington DC Metro, Chicago Metro, Philadelphia Metro"
61,disney/playback/broadcast,65,31,34,1.09375,0.16923076923076924,5.0,0.046153846153846156,0.015384615384615385,0.6615384615384615,"disney, playback, broadcast, encoding, video streaming, hls, metadata, video audio, consoles, experience video","ESPN, The Walt Disney Company, Roku, CNN, NBCUniversal","San Francisco Bay Area, Los Angeles Metro, Seattle Metro"
62,physical_security/security_systems/intrusion,63,27,36,1.3214285714285714,0.06349206349206349,5.0,0.015873015873015872,0.031746031746031744,0.4603174603174603,"physical security, security systems, intrusion, intrusion detection, security solutions, cissp, marine, application security, vulnerability management, security technologies","Kastle Systems, Penske Truck Leasing, ClearanceJobs, Eliassen Group, Sanford Health","Washington DC Metro, Dallas-Fort Worth Metro, San Francisco Bay Area"
63,wordpress/website/websites,61,37,24,0.6578947368421053,0.01639344262295082,5.0,0.08196721311475409,0.0,0.36065573770491804,"wordpress, website, websites, web developer, drupal, seo, pages, plugins, themes, cms","VolunteerMatch, HireTalent - Diversity Staffing & Recruiting Firm, San Diego State University, University of Pennsylvania, First Bank (FBNC)","San Diego Metro, Los Angeles Metro, San Francisco Bay Area"
64,laravel/experience_php/using_php,59,53,6,0.12962962962962962,0.01694915254237288,5.0,0.03389830508474576,0.0,0.5084745762711864,"laravel, experience php, using php, drupal, vuejs, lamp, developer responsible, php javascript, versioning tools, code versioning","Go Local Interactive, Anveta, Inc, Retail Insights, LLC, Clarity Security, HDR","Denver Metro, Salt Lake City Metro, Chicago Metro"
65,swe/type_complexity/scope_type,58,14,44,3.0,0.017241379310344827,8.0,0.05172413793103448,0.0,0.27586206896551724,"swe, type complexity, scope type, contracts similar, similar scope, programs contracts, discipline accredited, cloud distributed, distributed computing, projects similar","Reflexive Concepts, SageCor Solutions, 2HB Incorporated, ELEVI Associates, Onyx Point, LLC.","Washington DC Metro, New York City Metro, Detroit Metro"
66,rds/boot_microservices/api_gateway,58,24,34,1.4,0.06896551724137931,6.0,0.05172413793103448,0.0,0.3620689655172414,"rds, boot microservices, api gateway, api management, using spring, java developer, integration backend, javabased, exposure frontend, apis integrate","Fidelity Investments, Avtech Solutions, SDVS Technologies LLC, Michaels Stores, Barclays","Dallas-Fort Worth Metro, Washington DC Metro, Boston Metro"
67,switch/data_center/asic,55,15,40,2.5625,0.18181818181818182,5.0,0.09090909090909091,0.0,0.5454545454545454,"switch, data center, asic, switching, highspeed, cisco, kernel, bgp, asics, fabric","Cisco, ByteDance, Cornelis Networks, Hewlett Packard Enterprise, Zscaler","San Francisco Bay Area, Washington DC Metro, Salt Lake City Metro"
68,power_platform/power_automate/crm,50,27,23,0.8571428571428571,0.14,5.0,0.02,0.0,0.56,"power platform, power automate, crm, sharepoint, power apps, microsoft power, microsoft dynamics, apps power, powerapps, power bi","Crowe LLP, Armanino LLP, WaferWire Cloud Technologies, Goldman Sachs, City of New York","Washington DC Metro, New York City Metro, Philadelphia Metro"
69,development_frameworks/payroll/use_software,49,17,32,1.8333333333333333,0.061224489795918366,5.0,0.08163265306122448,0.04081632653061224,0.3673469387755102,"development frameworks, payroll, use software, develop high, diverse team, standard quality, responsible application, technologies apis, cost security, swagger","Vertafore, Lensa, Waystar, Capital Technology Group, myGwork - LGBTQ+ Business Community","Chicago Metro, Atlanta Metro, San Francisco Bay Area"
70,radar/radar_systems/warfare,49,37,12,0.34210526315789475,0.0,6.0,0.0,0.0,0.7959183673469388,"radar, radar systems, warfare, electronic warfare, science physics, rf, field tests, algorithm development, digital signal, trade studies","The Hire Method LLC, STR, Lockheed Martin, Brightpath Associates LLC, Collins Aerospace","Boston Metro, Washington DC Metro, Philadelphia Metro"
71,mbse/sysml/modelbased,49,40,9,0.24390243902439024,0.0,5.0,0.02040816326530612,0.02040816326530612,0.3877551020408163,"mbse, sysml, modelbased, modelbased systems, cameo, digital engineering, engineering mbse, model based, based systems, mbse tools","SOLVARUS, Georgia Tech Research Institute, Astrion, Innovative Defense Technologies (IDT), Aegis Aerospace Inc.","Washington DC Metro, Dallas-Fort Worth Metro, Pittsburgh Metro"
72,googles/work_specific/new_problems,49,21,28,1.3181818181818181,0.14285714285714285,5.0,0.0,0.0,0.7346938775510204,"googles, work specific, new problems, specific project, projects fastpaced, need engineers, leadership qualities, teams projects, deliverables design, versatile","Google, Glean, NiSUS Technologies Corporation, Qualcomm, HireIO, Inc.","Seattle Metro, San Francisco Bay Area, Boston Metro"
