uid,company,title,first_match_word,match_excerpt
linkedin_li-4326551365,Maven Clinic,Staff Software Engineer - Security,AI-assisted,"access reviews, and approvals * Integrate software-supply-chain security (SBOM, dependency scanning) * Develop or adopt AI-assisted security tooling to proactively identify risks * Automate policy enforcement, SAST/DAST scans, and compliance verificat"
linkedin_li-4371187684,Hearst Health,AI Software Engineer,LLM,"te delivery. * This position will be based Hybrid in Tampa, FL. **Responsibilities:** * Design and develop AI/LLM-powered solutions to automate software engineering tasks, such as test case identification, code review assistance, and"
linkedin_li-4378539554,Memorial Sloan Kettering Cancer Center,Bioinformatics Software Engineer,RAG,"b portals. * Design and build AI/ML solutions - including large language models (LLMs), retrieval-augmented generation (RAG), deep learning, and classical ML - integrated into secure, scalable full-stack clinical applications. **Key Qualifica"
linkedin_li-4384393251,Omnicell,"Engineer III, Software",prompt engineering,"use AI tools for software design, development, analysis, testing, and documentation * Experience or strong interest in prompt engineering—crafting prompts, validating output, and refining AI‑assisted workflows * AI literacy: ability to understand AI strengt"
linkedin_li-4306887317,HCA Healthcare,Staff Data Engineer,AI-assisted,"neer will be expected to leverage AI-native workflows to accelerate solution delivery. This includes the ability to use AI-assisted development tools for rapid software engineering, apply modern AI building blocks such as prompting, retrieval-augmente"
linkedin_li-4398537653,Optum,Senior AI/ML Engineer - Remote,OpenAI,"us on natural language processing (NLP) and Language Models * 3\+ years of experience with libraries such as Langchain, OpenAI API, Hugging Face Transformers, or similar tools for finetuning and integrating LLMs * Experience with agentic framewor"
linkedin_li-4374834267,SCAN,Cloud Platform Engineer,LLM,"t the platform level (e.g., deploying and operating models via Azure ML, containerized inference services, or API-based LLM integrations). * Drive resilience and disaster recovery strategies, including backup, failover, and multi-region design"
linkedin_li-4378613835,Elevance Health,Gen AI Engineer,LLM,"data extraction, transformation and loading techniques in order to connect large data sets from a variety of sources. * LLM development and fine-tuning strategies, best practices, and standards to enhance AI ML model deployment and monitoring"
linkedin_li-4400933352,Optum,Senior Data Engineer - Remote,LLM,"data quality frameworks, auditability, and reconciliation controls in regulated data environments * Experience using AI/LLM models to support data engineering (eg, accelerating SQL/ETL development, automating documentation, enabling data quali"
linkedin_li-4394609273,The US Oncology Network,"Remote Oncology Data Engineer - Precision Medicine - Dallas, Tx",OpenAI,"es, the Oncology Data Engineer will create scalable and efficient solutions using innovative technology, including SQL, OpenAI tools and large language models (LLMs). Supports and adheres to US Oncology Compliance Program, to include the Code of"
linkedin_li-4392258639,Texas Oncology,"Senior Data Engineer - Precision Health Informatics - Dallas, Tx",LLM,g PHI protection and risk modeling. * Translate clinical and research needs into scalable technical solutions. AI and LLM Integration * Integrate AI and LLM capabilities into data platforms and collaborate with AI teams on implement
linkedin_li-4388743047,Optum,Associate Software Engineer,AI-powered,"ture by demonstrating curiosity, collaboration, and servant‑leadership-oriented behaviors * Design, develop, and deploy AI-powered solutions to address complex business challenges with emphasis on responsible use of AI You'll be rewarded and recogn"
linkedin_li-4396962518,Counsel Health,Senior Software Engineer (Fullstack),MLOps,"ork spans a range of disciplines, including full-stack web development, data infrastructure, mobile development, and AI/MLOps. Our culture is fast-paced and ambitious, and we aim for every team member to be exceptional. **What You'll Do"
