technology,label,category,denominator_kaggle_arshkon,denominator_kaggle_asaniczka,denominator_scraped,mention_rate_kaggle_arshkon,mention_rate_kaggle_asaniczka,mention_rate_scraped,mentions_kaggle_arshkon,mentions_kaggle_asaniczka,mentions_scraped,arshkon_to_scraped_ratio,flag_ratio_gt_3_or_lt_0_33,investigation_note
circleci,CircleCI,devops,4691,18129,40881,0.00021317416329140907,0.0002758012024932429,0.00026907365279714294,1.0,5.0,11.0,0.7922520881378267,False,not flagged
computer_vision,Computer vision,ai_ml,4691,18129,40881,0.0,0.0,0.0,0.0,0.0,0.0,,False,not flagged
confluence,Confluence,tooling,4691,18129,40881,0.0014922191430398635,0.0024822108224391857,0.0025439690809911696,7.0,45.0,104.0,0.5865712575635833,False,not flagged
cpp,C++,language,4691,18129,40881,0.10466851417608186,0.16537040101494843,0.18837601819916341,491.0,2998.0,7701.0,0.5556360898626675,False,not flagged
csharp,C#,language,4691,18129,40881,0.12023022809635472,0.1195874014010701,0.10929282551796678,564.0,2168.0,4468.0,1.1000742960624614,False,not flagged
css,CSS,language,4691,18129,40881,0.037518652739288,0.040432456285509406,0.02629583425062988,176.0,733.0,1075.0,1.426790737334728,False,not flagged
cypress,Cypress,testing,4691,18129,40881,0.0008526966531656363,0.00011032048099729714,0.0012230620581688315,4.0,2.0,50.0,0.6971818375612875,False,not flagged
databricks,Databricks,data,4691,18129,40881,0.0014922191430398635,0.0004964421644878371,0.0036691861745064944,7.0,9.0,150.0,0.4066894052440844,False,not flagged
dbt,dbt,data,4691,18129,40881,0.007461095715199318,0.004357658999393237,0.016584721508769357,35.0,79.0,678.0,0.4498776606682349,False,not flagged
deep_learning,Deep learning,ai_ml,4691,18129,40881,0.0,0.0,0.0,0.0,0.0,0.0,,False,not flagged
devops,DevOps,practice,4691,18129,40881,0.00959283734811341,0.010645926416239175,0.013673833810327536,45.0,193.0,559.0,0.7015470190129236,False,not flagged
django,Django,framework,4691,18129,40881,0.015988062246855683,0.011859451707209444,0.01704948509087351,75.0,215.0,697.0,0.9377445806509429,False,not flagged
docker,Docker,cloud,4691,18129,40881,0.13110211042421657,0.12019416404655524,0.18573420415351874,615.0,2179.0,7593.0,0.7058587351840376,False,not flagged
dotnet,.NET,framework,4691,18129,40881,0.10914517160520144,0.09498593413867285,0.06492013404760158,512.0,1722.0,2654.0,1.6812222156715297,False,not flagged
dynamodb,DynamoDB,data,4691,18129,40881,0.020038371349392455,0.01616195046610403,0.025170617157114553,94.0,293.0,1029.0,0.7961017095573498,False,not flagged
elasticsearch,Elasticsearch,data,4691,18129,40881,0.012150927307610318,0.01616195046610403,0.0194711479660478,57.0,293.0,796.0,0.6240478131437405,False,not flagged
erlang,Erlang,language,4691,18129,40881,0.00021317416329140907,0.00016548072149594572,0.00019568992930701305,1.0,3.0,8.0,1.0893466211895118,False,not flagged
express,Express,framework,4691,18129,40881,0.007674269878490727,0.0028131722654310774,0.003522418727526235,36.0,51.0,144.0,2.1786932423790235,False,not flagged
fine_tuning,Fine-tuning,ai_tool,4691,18129,40881,0.010871882327861864,0.008384356555794583,0.029353489396051955,51.0,152.0,1200.0,0.37037785120443406,False,not flagged
flask,Flask,framework,4691,18129,40881,0.011937753144318908,0.008660157758287827,0.01342922139869377,56.0,157.0,549.0,0.8889385906974522,False,not flagged
flink,Flink,data,4691,18129,40881,0.006608399062033681,0.004798940923382426,0.013527066363347277,31.0,87.0,553.0,0.48853157695298177,False,not flagged
gcp,GCP,cloud,4691,18129,40881,0.07183969302920486,0.06823321749682829,0.11665565910814314,337.0,1237.0,4769.0,0.6158269009702084,False,not flagged
git,Git,tooling,4691,18129,40881,0.14623747601790663,0.1429753433724971,0.15572026124605562,686.0,2592.0,6366.0,0.9391037161621176,False,not flagged
github,GitHub,tooling,4691,18129,40881,0.008526966531656363,0.005460863809366208,0.008830508059978964,40.0,99.0,361.0,0.9656258137967972,False,not flagged
github_actions,GitHub Actions,devops,4691,18129,40881,0.0006395224898742272,0.00022064096199459428,0.001516596952129351,3.0,4.0,62.0,0.42168256304110135,False,not flagged
gitlab,GitLab,tooling,4691,18129,40881,0.034960562779791086,0.033482265982679685,0.06139771532007534,164.0,607.0,2510.0,0.56941146095643,False,not flagged
gitlab_ci,GitLab CI,devops,4691,18129,40881,0.006182050735450863,0.003750896353908103,0.01342922139869377,29.0,68.0,549.0,0.46034319875403773,False,not flagged
go,Go,language,4691,18129,40881,0.025154551268386272,0.023718903414418888,0.030576551454220786,118.0,430.0,1250.0,0.8226745683223193,False,not flagged
grafana,Grafana,ops,4691,18129,40881,0.01577488808356427,0.011914611947708093,0.04297840072405274,74.0,216.0,1757.0,0.36704223093010296,False,not flagged
graphql,GraphQL,framework,4691,18129,40881,0.021956938819015136,0.01858900104804457,0.03806169125021404,103.0,337.0,1556.0,0.576877645154343,False,not flagged
grpc,gRPC,framework,4691,18129,40881,0.006182050735450863,0.005957305973854046,0.016095496685501823,29.0,108.0,658.0,0.38408573877806496,False,not flagged
hadoop,Hadoop,data,4691,18129,40881,0.024728202941803452,0.025649511831871585,0.022284190699836108,116.0,465.0,911.0,1.109674714010831,False,not flagged
helm,Helm,cloud,4691,18129,40881,0.012790449797484544,0.009211760163274312,0.022235268217509357,60.0,167.0,909.0,0.5752325392419864,False,not flagged
html,HTML,language,4691,18129,40881,0.10893199744191004,0.11561586408516741,0.07125559550891612,511.0,2096.0,2913.0,1.5287500815045398,False,not flagged
integration_testing,Integration testing,testing,4691,18129,40881,0.0008526966531656363,0.0007170831264824315,0.0015899806756194809,4.0,13.0,65.0,0.5362937212009904,False,not flagged
java,Java,language,4691,18129,40881,0.2845875079940311,0.2766286061007226,0.30828502238203565,1335.0,5015.0,12603.0,0.9231311524481461,False,not flagged
javascript,JavaScript,language,4691,18129,40881,0.2114687699850778,0.20425837056649568,0.17839583180450577,992.0,3703.0,7293.0,1.1853907563087844,False,not flagged
jenkins,Jenkins,devops,4691,18129,40881,0.0940098060115114,0.08643609686138232,0.09735573983023899,441.0,1567.0,3980.0,0.9656318792855774,False,not flagged
jest,Jest,testing,4691,18129,40881,0.014069494777232999,0.007667273429312151,0.013233531469386757,66.0,139.0,541.0,1.0631700850056602,False,not flagged
jira,Jira,tooling,4691,18129,40881,0.05798337241526327,0.090407634177285,0.06893177759839535,272.0,1639.0,2818.0,0.8411704214721,False,not flagged
junit,JUnit,testing,4691,18129,40881,0.0211042421658495,0.021126372110982405,0.023507252758004943,99.0,383.0,961.0,0.8977757793778286,False,not flagged
kafka,Kafka,data,4691,18129,40881,0.06309955233425708,0.05841469468806884,0.09427362344365353,296.0,1059.0,3854.0,0.6693235077780912,False,not flagged
kanban,Kanban,practice,4691,18129,40881,0.011298230654444682,0.013072976998179713,0.011301093417480004,53.0,237.0,462.0,0.9997466826501148,False,not flagged
kotlin,Kotlin,language,4691,18129,40881,0.020038371349392455,0.018037398643058082,0.030454245248403903,94.0,327.0,1245.0,0.6579828587425807,False,not flagged
kubernetes,Kubernetes,cloud,4691,18129,40881,0.13493924536346194,0.12879916156434443,0.22002886426457277,633.0,2335.0,8995.0,0.6132797431577196,False,not flagged
linux,Linux,ops,4691,18129,40881,0.11873800895331486,0.18120139003806057,0.15391012939996576,557.0,3285.0,6292.0,0.7714762466656809,False,not flagged
matlab,MATLAB,language,4691,18129,40881,0.008953314858239182,0.033482265982679685,0.017147330055527016,42.0,607.0,701.0,0.5221404632235036,False,not flagged
microservices,Microservices,architecture,4691,18129,40881,0.11383500319761244,0.09950907385956202,0.14869988503216652,534.0,1804.0,6079.0,0.7655352468698132,False,not flagged
mocha,Mocha,testing,4691,18129,40881,0.004476657429119591,0.0028131722654310774,0.002519507839827793,21.0,51.0,103.0,1.7767983724256113,False,not flagged
mongodb,MongoDB,data,4691,18129,40881,0.008100618205073545,0.0027580120249324287,0.0035958024510163644,38.0,50.0,147.0,2.252798454704841,False,not flagged
mysql,MySQL,data,4691,18129,40881,0.042208484331699,0.04754812730983507,0.046720970622049364,198.0,862.0,1910.0,0.9034162554786318,False,not flagged
nlp,NLP,ai_ml,4691,18129,40881,0.0010658708164570454,0.0004964421644878371,0.002128127981213767,5.0,9.0,87.0,0.5008490212365572,False,not flagged
nodejs,Node.js,framework,4691,18129,40881,0.08526966531656363,0.08571901373489989,0.0833149874024608,400.0,1554.0,3406.0,1.0234613000018902,False,not flagged
numpy,NumPy,ai_ml,4691,18129,40881,0.007461095715199318,0.005571184290363506,0.010714023629558964,35.0,101.0,438.0,0.6963859678837062,False,not flagged
oauth,OAuth,security,4691,18129,40881,0.018759326369644,0.011693970985713498,0.02257772559379663,88.0,212.0,923.0,0.8308775962268866,False,not flagged
objective_c,Objective-C,language,4691,18129,40881,0.007461095715199318,0.0034750951514148603,0.00689807000807221,35.0,63.0,282.0,1.081620758627884,False,not flagged
opensearch,OpenSearch,data,4691,18129,40881,0.003197612449371136,0.0015996469744608086,0.006995914972725716,15.0,29.0,286.0,0.45706851238720775,False,not flagged
oracle,Oracle,data,4691,18129,40881,0.003410786612662545,0.0031992939489216173,0.004011643550793767,16.0,58.0,164.0,0.8502217531235214,False,not flagged
pandas,Pandas,ai_ml,4691,18129,40881,0.008526966531656363,0.006895030062331072,0.015337198209437146,40.0,125.0,627.0,0.5559663776405802,False,not flagged
perl,Perl,language,4691,18129,40881,0.012790449797484544,0.02250537812344862,0.014676744698025978,60.0,408.0,600.0,0.8714772969516095,False,not flagged
php,PHP,language,4691,18129,40881,0.024301854615220636,0.019968007060510783,0.010983097282356106,114.0,362.0,449.0,2.212659506736826,False,not flagged
playwright,Playwright,testing,4691,18129,40881,0.005116179918993818,0.0016548072149594572,0.015483965656417407,24.0,30.0,633.0,0.3304179324935012,False,not flagged
postgresql,PostgreSQL,data,4691,18129,40881,0.05990193988488595,0.05874565613106073,0.09779604217117976,281.0,1065.0,3998.0,0.6125190606388251,False,not flagged
powershell,PowerShell,language,4691,18129,40881,0.042634832658281815,0.035523194881129684,0.03331621046451897,200.0,644.0,1362.0,1.2797023450097054,False,not flagged
pytest,Pytest,testing,4691,18129,40881,0.003197612449371136,0.002206409619945943,0.007338372349012989,15.0,40.0,300.0,0.43573864847580474,False,not flagged
python,Python,language,4691,18129,40881,0.314218716691537,0.3258315406255171,0.4937256916415939,1474.0,5907.0,20184.0,0.6364236700885217,False,not flagged
pytorch,PyTorch,ai_ml,4691,18129,40881,0.018972500532935407,0.013514258922168901,0.04818864509185196,89.0,245.0,1970.0,0.3937130935466662,False,not flagged
rabbitmq,RabbitMQ,data,4691,18129,40881,0.008740140694947772,0.008770478239285123,0.015483965656417407,41.0,159.0,633.0,0.5644639680097312,False,not flagged
rails,Rails,framework,4691,18129,40881,0.010871882327861864,0.007777593910309449,0.009760035224187275,51.0,141.0,399.0,1.1139183494870197,False,not flagged
react,React,framework,4691,18129,40881,0.14709017267107227,0.12813723867836063,0.18113549081480396,690.0,2323.0,7405.0,0.8120450167408649,False,not flagged
redis,Redis,data,4691,18129,40881,0.019398848859518227,0.019857686579513485,0.032924830605904946,91.0,360.0,1346.0,0.5891859882808058,False,not flagged
redshift,Redshift,data,4691,18129,40881,0.017906629716478363,0.017982238402559435,0.018517159560676108,84.0,326.0,757.0,0.9670289688762906,False,not flagged
rest_api,REST API,framework,4691,18129,40881,0.06501811980387977,0.04975453692978101,0.0767104522883491,305.0,902.0,3136.0,0.8475783659765335,False,not flagged
ruby,Ruby,language,4691,18129,40881,0.024301854615220636,0.02752496000882564,0.020889899953523642,114.0,499.0,854.0,1.1633303495606966,False,not flagged
scala,Scala,language,4691,18129,40881,0.037518652739288,0.04159082133598103,0.031872997235879746,176.0,754.0,1303.0,1.17712973341123,False,not flagged
scikit_learn,scikit-learn,ai_ml,4691,18129,40881,0.007247921551907909,0.0055160240498648575,0.014652283456862602,34.0,100.0,599.0,0.49466157089072993,False,not flagged
scrum,Scrum,practice,4691,18129,40881,0.08995949690897463,0.08930442936731205,0.07979256867493456,422.0,1619.0,3262.0,1.1274169813414445,False,not flagged
security,Security,practice,4691,18129,40881,0.002131741632914091,0.0013238457719675658,0.0009050659230449353,10.0,24.0,37.0,2.3553440458151607,False,not flagged
selenium,Selenium,testing,4691,18129,40881,0.023235983798763588,0.02173313475646754,0.022284190699836108,109.0,394.0,911.0,1.0427115847170738,False,not flagged
serverless,Serverless,architecture,4691,18129,40881,0.023235983798763588,0.016217110706602682,0.02751889630879871,109.0,294.0,1125.0,0.8443646699353371,False,not flagged
spark,Spark,data,4691,18129,40881,0.017267107226604135,0.011032048099729715,0.026246911768303124,81.0,200.0,1073.0,0.6578719576242346,False,not flagged
splunk,Splunk,ops,4691,18129,40881,0.022596461308889364,0.017099674554581057,0.02504831095129767,106.0,310.0,1024.0,0.9021151706725645,False,not flagged
spring,Spring,framework,4691,18129,40881,0.006395224898742272,0.0019857686579513485,0.0065066901494581835,30.0,36.0,266.0,0.9828691319003113,False,not flagged
sql,SQL,data,4691,18129,40881,0.26902579407375826,0.27877985548016987,0.25114356302438784,1262.0,5054.0,10267.0,1.0712032227066632,False,not flagged
sql_server,SQL Server,data,4691,18129,40881,0.01151140481773609,0.006012466214352695,0.004623174579878183,54.0,109.0,189.0,2.489935134147456,False,not flagged
sre,SRE,practice,4691,18129,40881,0.023449157962055,0.012245573390699984,0.035640028375039746,110.0,222.0,1457.0,0.657944424603137,False,not flagged
tableau,Tableau,data,4691,18129,40881,0.01364314645065018,0.013624579403166198,0.014578899733372471,64.0,247.0,596.0,0.935814547062131,False,not flagged
tdd,TDD,practice,4691,18129,40881,0.0211042421658495,0.017871917921562137,0.018321469631369096,99.0,324.0,749.0,1.151885879815879,False,not flagged
tensorflow,TensorFlow,ai_ml,4691,18129,40881,0.01833297804306118,0.014838104694136467,0.037352315256476115,86.0,269.0,1527.0,0.49081236108604065,False,not flagged
terraform,Terraform,cloud,4691,18129,40881,0.07333191217224472,0.05758729108058911,0.12348034539272523,344.0,1044.0,5048.0,0.5938751785882599,False,not flagged
typescript,TypeScript,language,4691,18129,40881,0.09592837348113409,0.14242374096751062,0.18355715368997824,450.0,2582.0,7504.0,0.522607654088785,False,not flagged
unit_testing,Unit testing,testing,4691,18129,40881,0.00021317416329140907,5.516024049864857e-05,9.784496465350652e-05,1.0,1.0,4.0,2.1786932423790235,False,not flagged
unix,Unix,ops,4691,18129,40881,0.04007674269878491,0.05185062606872966,0.037474621462292995,188.0,940.0,1532.0,1.069436891820513,False,not flagged
vector_databases,Vector databases,ai_ml,4691,18129,40881,0.00021317416329140907,0.0,0.00026907365279714294,1.0,0.0,11.0,0.7922520881378267,False,not flagged
vue,Vue,framework,4691,18129,40881,0.022170112982306544,0.021071211870483754,0.025806609427362345,104.0,382.0,1055.0,0.8590866244831031,False,not flagged
