uid,period,period_group,source,subterm,matched_text,context,label,pattern_class,label_v2,label_final
asaniczka_474b8bba40188974,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"ms experience | experience with test methodologies, software test and execution experience in (high ai/ml experience strongly experience configuring and maintaining software systems such as jenkins / gi",ambiguous,broad,true_positive,true_positive
asaniczka_878ecdb7b77b3b4b,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"as the engineer, you will a role in optimizing their and ai workloads to increase capabilities. you will collaborate with senior stakeholders in the business i",ambiguous,broad,ambiguous,true_positive
asaniczka_e35d97f9776bf92b,2024-01,2024,kaggle_asaniczka,ai_bare,ai," available tools that will help in co-relating predict outages, up topologies from and it together. ai (dynatrace/watsonaiops) and to the business in of mttr and identify with good of co-relation of ale",ambiguous,broad,ambiguous,true_positive
arshkon_3905345886,2024-04,2024,kaggle_arshkon,ai_bare,ai,is for a lead ai engineer to its generative ai team. you will work on projects a team with a start-up but with the b,true_positive,broad,true_positive,true_positive
asaniczka_bd227df5dddbef4d,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"f software stacks. gliacell’s capabilities include full-stack application data, cloud technologies, ai, and devops containerization. we also customer in the of cne, and by providing our customers with a",ambiguous,broad,ambiguous,true_positive
asaniczka_163f2386f8d8a393,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"role summary the ai platform team at the and of generative ai systems. we operate for and orchestrating llms, and agent",true_positive,broad,true_positive,true_positive
asaniczka_c8c634d982cd3f38,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"e and devops in the and of software architecting or designing systems with large-scale data such as ai/ml and data systems ability to work effectively in and teams knowledge of work such as the atam, qa",ambiguous,broad,true_positive,true_positive
asaniczka_ef5dd9d7b0708eaa,2024-01,2024,kaggle_asaniczka,ai_bare,ai,"we are for a senior developer with a in the ai space. to as a senior developer, you should have excellent full stack skills, and experience with p",ambiguous,broad,true_positive,true_positive
asaniczka_c85b51a52b64c323,2024-01,2024,kaggle_asaniczka,ai_bare,ai," consideration to with aws devops/sysops/developer as as those with experience data data, and/or ml/ai workloads or knowledge and of hipaa regulations.",ambiguous,broad,true_positive,true_positive
linkedin_li-4372079319,2026-04,2026,scraped,ai_bare,ai,"we are for a fast-growing ai that helps teams monitor, evaluate, and improve in production. their platform tracks agent detects ",true_positive,broad,ambiguous,true_positive
linkedin_li-4380744127,2026-03,2026,scraped,ai_bare,ai,"s engineer will a role in designing, securing, and cloud-native platforms with a strong emphasis on ai systems, kubernetes, karpenter, terraform-based infrastructure-as-code, and web services (aws)-cent",ambiguous,broad,true_positive,true_positive
linkedin_li-4381021191,2026-03,2026,scraped,ai_bare,ai,utonomously * work on data and systems: build and improve the that our platform: data ingestion and ai and and feedback loops that improve system over time * solve problems: understand what and are sear,ambiguous,broad,ambiguous,true_positive
linkedin_li-4390775954,2026-03,2026,scraped,ai_bare,ai,o-speech services or an application. * experience implementing and integrating (llms) or generative ai into consumer-facing applications. * a demonstrated track of utilizing ai tools to software workflo,true_positive,broad,true_positive,true_positive
linkedin_li-4388584996,2026-03,2026,scraped,ai_bare,ai," in and delivering software for enabling or and design. * research and/or experience working on and ai systems * to ml/ai and deep fundamentals, including network architectures and like backpropagation,",ambiguous,broad,true_positive,true_positive
linkedin_li-4392341379,2026-03,2026,scraped,ai_bare,ai,"ale systems that bring into production. you will work closely with and senior to build services for ai-powered applications, including llm-based vision and multi-agent workflows. this role is for someon",true_positive,broad,true_positive,true_positive
linkedin_li-4395338530,2026-04,2026,scraped,ai_bare,ai,**role * ai-first software projects and * ai use and our software platforms * working closely with clients to d,ambiguous,broad,ambiguous,true_positive
linkedin_li-4310274457,2026-03,2026,scraped,ai_bare,ai,ticularly in 3d geometric vision scenarios. we're and problem-solvers eager to through cutting-edge ai and contributing to the of self-driving technology. by is a project between research and by to rese,ambiguous,broad,ambiguous,true_positive
linkedin_li-4365254311,2026-03,2026,scraped,ai_bare,ai,**about you and the role** is the world's largest network—a ai** system—delivering life-saving medical and globally. our to and scale demands an industrial-grade ,ambiguous,broad,ambiguous,true_positive
linkedin_li-4351761138,2026-04,2026,scraped,ai_bare,ai,"we are for a senior python ai developer with deep expertise in using ai, particularly with gemini or openai models. the has a str",true_positive,broad,true_positive,true_positive
linkedin_li-4390976468,2026-03,2026,scraped,ai_bare,ai,"s of experience with ml (e.g., data debugging). * 3 years of experience implementing and evaluating ai algorithms in applications. * 1 year of experience with genai (e.g., (llms), multi-modal, vision or",true_positive,broad,true_positive,true_positive
linkedin_li-4277270130,2026-03,2026,scraped,ai_bare,ai,"n and * and * databases and (incl. sql) * xml and xml * json and json * api and using) * software * ai and * tools: | * rf (vsa/spectrum and other test * windows os, including and variants * and * qt * ",ambiguous,broad,ambiguous,true_positive
linkedin_li-4330889781,2026-04,2026,scraped,ai_bare,ai,ating with teams * familiarity with python and/or typescript * experience with and aip * delivering ai,ambiguous,broad,ambiguous,false_positive
linkedin_li-4397519241,2026-04,2026,scraped,ai_bare,ai,"on.** we build the platforms, products, and guardrails that allow thousands of users—engineers, and ai agents—to and on data with and confidence. as a | **senior platform engineer (ai-native , you will ",true_positive,broad,ambiguous,true_positive
linkedin_li-4388957967,2026-03,2026,scraped,ai_bare,ai,"as an ai software engineer, you will your software engineering experience with recent genai and ml skills to",true_positive,broad,true_positive,true_positive
linkedin_li-4385760136,2026-03,2026,scraped,ai_bare,ai,"clara,ca as a software engineer at you’ll deep into ground-breaking technologies—like and ai—to software that solve our customers’ high-value problems. our software are for designing, prototyp",ambiguous,broad,ambiguous,true_positive
linkedin_li-4376768855,2026-04,2026,scraped,ai_bare,ai,"in this role, as a software engineer ii, data & ai you will be of the ripple’s data engineering. this team implements the data ingestion and for and b",true_positive,broad,true_positive,true_positive
linkedin_li-4391493036,2026-03,2026,scraped,ai_bare,ai,we are for an | **ai engineer** with strong experience in | **ai and copilots using copilot and azure ai . the role invo,true_positive,broad,true_positive,true_positive
linkedin_li-4390147156,2026-03,2026,scraped,ai_bare,ai,"xciting opportunity to a company with a proven track for advancement. **responsibilities:** | * and ai engineering for the as a capability * as the between systems, product, and it * llm and agent-power",true_positive,broad,true_positive,true_positive
linkedin_li-4399631159,2026-04,2026,scraped,ai_bare,ai," the full-stack as we continue to technology forward. the platform x team to and the quality of the ai for android and pixel. in this role, you will design, build, and the platforms, tools, and that del",ambiguous,broad,ambiguous,true_positive
linkedin_li-4388905166,2026-03,2026,scraped,ai_bare,ai," a field. * 3 years of experience working in a matrixed organization. * experience implementing and ai and workflows for infrastructure. as a software engineering manager, you will the technology the of",ambiguous,broad,ambiguous,true_positive
linkedin_li-4395655492,2026-03,2026,scraped,ai_bare,ai,"lead ai engineer ai, genai, llms) **experience:** | 10+ years to our next-gen ai initiatives. you'll archit",true_positive,broad,true_positive,true_positive
linkedin_li-4369627869,2026-03,2026,scraped,ai_bare,ai,"in this role, you will:** * partner with a cross-functional team of research and product to deliver ai-powered products that how our work and how our customers with one. * design, develop, test, deploy,",ambiguous,broad,true_positive,true_positive
linkedin_li-4366092948,2026-04,2026,scraped,ai_bare,ai,"y-to-day use of systems to are and correctly * third-party such as technology tools, platforms, and ai through configuration, and front-end * collaborate with and it teams to workflows and effective sys",ambiguous,broad,ambiguous,true_positive
linkedin_li-4395211589,2026-04,2026,scraped,ai_bare,ai,**job | * build and optimize data and workflows leveraging snowflake and python * develop ai‑powered applications and tools using frameworks like langgraph and langsmith * and operationalize l,ambiguous,broad,ambiguous,true_positive
asaniczka_050d0b98bc14d35d,2024-01,2024,kaggle_asaniczka,artificial_intelligence,artificial intelligence,combination of and experience. knowledge of and experience in the following system and and learning/artificial intelligence. experience with to data and algorithm for learning/artificial intelligence. ability to collaborate,true_positive,broad,true_positive,true_positive
linkedin_li-4395019043,2026-03,2026,scraped,artificial_intelligence,artificial intelligence,g use cases. experience 9-11 years qualification bachelor of technology/ engineering | data science-artificial intelligence-ai-ml modelling,true_positive,broad,true_positive,true_positive
asaniczka_b10c2914193c5213,2024-01,2024,kaggle_asaniczka,ml_bare,ml," websockets and conflict-free replicated data types. this role offers the opportunity to the of and ml algorithms into the same loop. if you’re as interested in that as we are, we we’ll be from you. req",ambiguous,broad,true_positive,true_positive
asaniczka_96c8d2200f4bd13c,2024-01,2024,kaggle_asaniczka,ml_bare,ml,"els. implement document and databases to inputs to generative ai models. updated with the in the ai/ml with a particular in generative ai. of projects, them from to with minimal supervision. qualificati",true_positive,broad,true_positive,true_positive
asaniczka_fb1af9aba94c4a1b,2024-01,2024,kaggle_asaniczka,ml_bare,ml,we're for a engineer to our generative ml team! what you’ll do: | develop technology and products that millions of snapchatters build cutting,ambiguous,broad,true_positive,true_positive
arshkon_3887985722,2024-04,2024,kaggle_arshkon,ml_bare,ml,"r data processing. will have experience with large-scale data strong python skills; experience with ml systems, frameworks, and data lifecycles; and a in data and algorithms. of expertise include engine",ambiguous,broad,true_positive,true_positive
arshkon_3904730096,2024-04,2024,kaggle_arshkon,ml_bare,ml,"r ai applications and systems. the will have a strong in azure api along with experience in devops, ml, mlops, data, python, and methodologies. expertise in ai on the azure platform (or gcp). the will h",true_positive,broad,true_positive,true_positive
arshkon_3901944728,2024-04,2024,kaggle_arshkon,ml_bare,ml,"e team we are a platform engineer with expertise in cloud on aws, workloads in kubernetes, and a on ml and other data engineering workloads. this is a challenging and exciting opportunity for a motivate",true_positive,broad,true_positive,true_positive
arshkon_3905832220,2024-04,2024,kaggle_arshkon,ml_bare,ml,perience with python dependency tools like condaexperience using juptyer notebooks for e.g. data or ml tasksmanage programmatic job and data using tools such as airflow.develop and maintain queries for ,ambiguous,broad,true_positive,true_positive
asaniczka_8f0d85ee0a8e3772,2024-01,2024,kaggle_asaniczka,ml_bare,ml,"nd devops in the and of software architecting or designing systems with large-scale data such as ai/ml and data systems ability to work effectively in and teams knowledge of work such as the atam, qaw, ",ambiguous,broad,true_positive,true_positive
asaniczka_8417dba12b31ba0b,2024-01,2024,kaggle_asaniczka,ml_bare,ml,"uality that our of business to their goals. job duties and responsibilities | and contribute to ai, ml, and llm capabilities time technology design, code, and test with an emphasis on test and help the ",true_positive,broad,true_positive,true_positive
asaniczka_e9a2b51784923289,2024-01,2024,kaggle_asaniczka,ml_bare,ml,ill be algorithms producing high-level and services at scale. you will be with a team software/data/ml/applied for high applications that with scale systems. what you bring to the | best in of algorithm,ambiguous,broad,true_positive,true_positive
asaniczka_3a79cbef36ecb69d,2024-01,2024,kaggle_asaniczka,ml_bare,ml,"ementing technology, which we will use clear to make data-driven build a best-in-class product, and ml/ai use cases. you will work cross-functionally with engineering teams, providing and and teams with",ambiguous,broad,true_positive,true_positive
arshkon_3905658808,2024-04,2024,kaggle_arshkon,ml_bare,ml,"ugs and vulnerabilities. 10% skills / abilities experience in ui and api to expose the data from ai/ml data and pipelines. experience in the microservices for using springboot, python, and kotlin, and u",ambiguous,broad,true_positive,true_positive
asaniczka_2eb0295f131a26eb,2024-01,2024,kaggle_asaniczka,ml_bare,ml,"ml platform in | ml platform is on self-managed kubernetes and by kubeflow, an open-source that enable",ambiguous,broad,true_positive,true_positive
asaniczka_cea4c4200f39f74c,2024-01,2024,kaggle_asaniczka,ml_bare,ml," linux service system requirements including decomposition, and design it system to include and (ai/ml) is knowledge of software (e.g., java, c, c++, c#, python, perl, etc.) is experience with systems e",ambiguous,broad,true_positive,true_positive
asaniczka_8967bbb10d0ba348,2024-01,2024,kaggle_asaniczka,ml_bare,ml,"onents that address business working closely with cross-functional teams. utilize your expertise in ml to make on ml including data and feature and validation. solve problems by and application code, an",ambiguous,broad,true_positive,true_positive
arshkon_3890893839,2024-04,2024,kaggle_arshkon,ml_bare,ml,", documentdb) - design and architect, design and develop ai for our llm application, on (nlu), and (ml) algorithm - work closely with product ux/ui and software to ai into our existing ensuring a and us",true_positive,broad,true_positive,true_positive
asaniczka_00bfcc0d96b27601,2024-01,2024,kaggle_asaniczka,ml_bare,ml,"to our web-based frontend. using your 5+ years of experience, you would work the stack to build out ml-based features along with the and to them. these will features such as and matting, inpainting, and",ambiguous,broad,ambiguous,false_positive
asaniczka_ab2a041730faf982,2024-01,2024,kaggle_asaniczka,ml_bare,ml,experience: 9 years duration: 12+ contract skills | 9+ years experience as a gcp a/ml experience needed | good to have experience in good to have experience in intelligence. good skills,ambiguous,broad,ambiguous,false_positive
asaniczka_4ca76c2279a1db93,2024-01,2024,kaggle_asaniczka,ml_bare,ml,"lops user and visualizations that capabilities such as data and query, visualizations, link-node ai/ml data and and develops services using such as rest, java, json, spring, python, javascript web ui fr",ambiguous,broad,true_positive,true_positive
arshkon_3902347170,2024-04,2024,kaggle_arshkon,ml_bare,ml," with data structures/algorithms.● 5+ years with or more languages/softwares but not to: python, r, ml/optimization, scala● 5+ years of experience in or more of the following recommendation systems, dat",true_positive,broad,true_positive,true_positive
asaniczka_b641f0f2a1e6090b,2024-01,2024,kaggle_asaniczka,ml_bare,ml,". what we you have: | 8+ years of experience contributing to the and design of scale systems and/or ml systems and tools. proficiency in python, with a track of ai-driven applications using this languag",ambiguous,broad,true_positive,true_positive
asaniczka_8412ce67595452e4,2024-01,2024,kaggle_asaniczka,ml_bare,ml,"5+ years experience in a fast-paced ability to design and implement ai tools in go experience in at ml framework, such as tensorflow, keras, pytorch, etc. experience involving algorithms, reinforcement ",true_positive,broad,true_positive,true_positive
asaniczka_9347164e8112f5b8,2024-01,2024,kaggle_asaniczka,ml_bare,ml,"alizations to a part of our team. at our platform team plays a role our ag by overseeing all of the ml application lifecycle. this encompasses such as data ingestion, annotation, and as as the of and vi",ambiguous,broad,true_positive,true_positive
asaniczka_fd70fae653ecbc9e,2024-01,2024,kaggle_asaniczka,ml_bare,ml,"rtners and customers collaborate with, from, and a and cross-functional team, including software ai/ml researchers, and business business, and product in ramp-up and you have | an impact-driven - willin",ambiguous,broad,true_positive,true_positive
asaniczka_6269800e47027f3c,2024-01,2024,kaggle_asaniczka,ml_bare,ml,ations. duties | and maintains cloud to ai applications and tools. optimizes and enhances of ai and ml and algorithms for efficient execution and scalability. and of ai systems and applications into exi,ambiguous,broad,true_positive,true_positive
linkedin_li-4380010695,2026-03,2026,scraped,ml_bare,ml,"working poc before of day. you refine ruthlessly after. * you context-switch backend, mobile and ai/ml systems losing depth. you don't need to be an android but you need to be dangerous enough to archit",ambiguous,broad,true_positive,true_positive
linkedin_li-4392341379,2026-03,2026,scraped,ml_bare,ml," and multi-agent workflows. this role is for someone who is eager to solve challenging problems, ai/ml systems, and contribute to applications that improve amazon’s operations. job responsibilities | * ",true_positive,broad,true_positive,true_positive
linkedin_li-4387529748,2026-03,2026,scraped,ml_bare,ml,**job ml engineer for a mlops engineer with hands-on experience in mager is plus).** * design multi-agent ar,true_positive,broad,true_positive,true_positive
linkedin_li-4389933815,2026-03,2026,scraped,ml_bare,ml," data platforms for the and of self-driving technology. **what you’ll do** | * design & develop the ml data platform (ingestion, using gcp and open-source frameworks * collaborate with stakeholders (ml ",ambiguous,broad,true_positive,true_positive
linkedin_li-4390976468,2026-03,2026,scraped,ml_bare,ml,"ducts, and 1 year of experience with software design and architecture. * 3 years of experience with ml (e.g., data debugging). * 3 years of experience implementing and evaluating ai algorithms in applic",ambiguous,broad,true_positive,true_positive
linkedin_li-4388746745,2026-03,2026,scraped,ml_bare,ml,you will be an ai/ml engineer in av and involved in the and of the for vision and use cases. the will be to identify and,ambiguous,broad,true_positive,true_positive
linkedin_li-4400963530,2026-04,2026,scraped,ml_bare,ml," have** * experience with data annotation platforms, data quality systems, or * familiarity with ai/ml workflows, or benchmarking systems * experience designing or maintaining systems * in developer or ",ambiguous,broad,true_positive,true_positive
linkedin_li-4328982274,2026-03,2026,scraped,ml_bare,ml," developer-facing tools with strong software engineering fundamentals * hands-on experience with ai/ml technologies including experience with llm (openai, anthropic, etc.), engineering, and ai agent * p",true_positive,broad,true_positive,true_positive
linkedin_li-4387977494,2026-03,2026,scraped,ml_bare,ml,"market qualifications | - strong software engineer with 3–5+ years of experience, ideally with a in ml, or ai systems - hands-on experience with llms and frameworks (i.e. langgraph), engineering, fine-t",true_positive,broad,true_positive,true_positive
linkedin_li-4393970449,2026-04,2026,scraped,ml_bare,ml,"cohesive system on the road. from data from controlling actuators, and our linux os, to integrating ml frameworks and tools for track we own the that and teams forward. & responsibilities:** | * design,",ambiguous,broad,true_positive,true_positive
linkedin_li-4391718472,2026-03,2026,scraped,ml_bare,ml,"nt data and observability frameworks to data quality, governance and security are met. - build ai / ml and to & use including recommendations, forecasting, and - collaborate with cross-functional teams ",true_positive,broad,true_positive,true_positive
linkedin_li-4393533791,2026-03,2026,scraped,ml_bare,ml,perience with mobile application (ios with swift and/or android with kotlin). * familiarity with ai/ml or engineering.,ambiguous,broad,true_positive,true_positive
linkedin_li-4379268915,2026-03,2026,scraped,ml_bare,ml,"n our team, you will** * product and engineering * build large-scale, low-latency systems * develop ml and llm-based ai workflows * partner with our team to implement llm in * contribute to llmops * des",true_positive,broad,true_positive,true_positive
linkedin_li-4380983512,2026-03,2026,scraped,ml_bare,ml," customers through and hands-on * architectures into sambanova's platform stack * end-to-end create ml application from to * high-throughput, low-latency deployments for customer workloads * cross-funct",ambiguous,broad,ambiguous,true_positive
linkedin_li-4386949455,2026-04,2026,scraped,ml_bare,ml,"n & * influencing by injecting observability, and considerations in design. * collaborating with ai/ml platform firmware teams, and product partners to deliver robust, user experiences. qualifications**",ambiguous,broad,true_positive,true_positive
linkedin_li-4397621898,2026-04,2026,scraped,ml_bare,ml,"h team which explores and implements deep and frameworks to design tools. we are for in frameworks, ml and deep-learning algorithms and application development. in we desire a team with excellent skills",ambiguous,broad,ambiguous,false_positive
linkedin_li-4384309566,2026-04,2026,scraped,ml_bare,ml,", and optimize next-generation conversational agent technologies. you will collaborate closely with ml researchers and product teams to ship high-impact features and own components of our conversational",true_positive,broad,true_positive,true_positive
linkedin_li-4354608399,2026-04,2026,scraped,ml_bare,ml,"sibilities** | * design, build, and maintain integration/continuous (ci/cd) for * deploy and manage ml in using containerization and technologies * implement and alerting to track system health, and dat",ambiguous,broad,ambiguous,true_positive
linkedin_li-4318536937,2026-03,2026,scraped,ml_bare,ml,"**about the role** as a engineer at you’ll operate at the of backend engineering and learning. ml at are generalists systems that prediction, recommendation, and while also bringing statistical and",true_positive,broad,true_positive,true_positive
linkedin_li-4398291419,2026-04,2026,scraped,ml_bare,ml,"h and mongodb to develop, optimize, and maintain and backend services. the will have a strong of ai/ml frameworks, and software best practices. **responsibilities:** | * develop and deploy using pytorch",true_positive,broad,true_positive,true_positive
linkedin_li-4337959190,2026-04,2026,scraped,ml_bare,ml,"s a senior the research, and of large-scale multimodal models. you’ll collaborate closely with data ml and cross-functional partners to the boundaries of deep and our deliver measurable to members. **re",ambiguous,broad,true_positive,true_positive
linkedin_li-4383227805,2026-04,2026,scraped,ml_bare,ml,"fications:** | * bachelor's degree or experience. * 5 years of experience and architecting quality (ml) systems. * 3 years of experience maintaining, or software products, and 1 year of experience with ",ambiguous,broad,ambiguous,false_positive
linkedin_li-4386941607,2026-04,2026,scraped,ml_bare,ml,"p). * designing, and leveraging client data (e.g., recommender systems, scoring). * productionizing ml systems with a on and to satisfy clients’ requirements. * captech’s and data through delivering cli",true_positive,broad,true_positive,true_positive
linkedin_li-4373079780,2026-04,2026,scraped,ml_bare,ml,"at consists of a of well-integrated platforms and allows us to our and clients better. we are an ai/ml engineer to our ib engineering team. as an ai/ml engineer, you will your expertise in and to develo",ambiguous,broad,true_positive,true_positive
linkedin_li-4394719269,2026-04,2026,scraped,ml_bare,ml," of experience with algorithms, and experience in designing solutions. * 3 years of experience with ml (e.g., data debugging). qualifications:** | * master's degree or phd in or field. * 5 years of expe",ambiguous,broad,true_positive,true_positive
arshkon_3905846666,2024-04,2024,kaggle_arshkon,machine_learning,machine learning,what you’ll the senior principal engineer- engineering intelligence/machine learning/high service will be for providing the and ongoing of customer platforms a 24x7x365 environment. th,true_positive,broad,true_positive,true_positive
asaniczka_8417dba12b31ba0b,2024-01,2024,kaggle_asaniczka,llm,llm,"hat our of business to their goals. job duties and responsibilities | and contribute to ai, ml, and llm capabilities time technology design, code, and test with an emphasis on test and help the of the sy",true_positive,broad,true_positive,true_positive
asaniczka_163f2386f8d8a393,2024-01,2024,kaggle_asaniczka,llm,llm,"backend services, the of genai frameworks, and the of this technology. responsibilities | work with llm and ai/ml systems to through automation. design and develop backend systems and micro-services at s",true_positive,broad,true_positive,true_positive
arshkon_3906240774,2024-04,2024,kaggle_arshkon,llm,llm,"e engineering team and with our customers to design, build, and productionize and ai/ml systems for llm applications over data. this includes algorithms for and indexing and unstructured data, and decomp",true_positive,broad,true_positive,true_positive
asaniczka_06d88f0b141c14b0,2024-01,2024,kaggle_asaniczka,llm,llm,"u’ll do | develop and optimize generative ai technologies to automate, and optimize fine and deploy llm trained on our proprietary data. develop and algorithms to to datasets, as as for and analyzing the",true_positive,broad,true_positive,true_positive
arshkon_3905236643,2024-04,2024,kaggle_arshkon,llm,llm," with team and c-suite to identify for and data & your skills and experience | - experience up or - llm experience necessary - experience working with an of (recommendation llm, in an full -to-end settin",true_positive,broad,true_positive,true_positive
arshkon_3905296609,2024-04,2024,kaggle_arshkon,llm,llm,"ize the knowledge platform for real-time services such as (el), and hallucination mitigation (genai/llm) what you bring m.s. in science. ph.d. in any is a plus.8+ years of software engineering experience",true_positive,broad,true_positive,true_positive
arshkon_3905297605,2024-04,2024,kaggle_arshkon,llm,llm,uality knowledge: experience in identifying and resolving data quality with a in and data analytics.llm expertise: a in leveraging to address business our edge.versatile engineering: full-stack engineeri,true_positive,broad,true_positive,true_positive
arshkon_3884996017,2024-04,2024,kaggle_arshkon,llm,llm,"'ll help to build and scale systems for both software- and human-driven translation. you'll the for llm and ml to industry-leading in translation. we're a self-starting comfortable with ambiguity, posses",true_positive,broad,true_positive,true_positive
arshkon_3902359385,2024-04,2024,kaggle_arshkon,llm,llm,"years of data experiencestrong verbal and written skillsdegree or experience in linguistics.deep of llm, and ml.strong in ai technologies and algorithms.leadership skills to a team of effectively.excelle",true_positive,broad,true_positive,true_positive
asaniczka_cf1ec61ce4ec6a5f,2024-01,2024,kaggle_asaniczka,llm,llm," - can develop prototypes/demos) proficiency with azure dev/ops tools and services familiarity with llm platforms such as openai, and open-source (llms) to create and applications research",true_positive,broad,true_positive,true_positive
asaniczka_9332a7e122fcf242,2024-01,2024,kaggle_asaniczka,llm,llm, be a self-starter with a strong and 4+ years of experience in deep and nlp. recent experience with llm's would be a strong,true_positive,broad,true_positive,true_positive
arshkon_3900964417,2024-04,2024,kaggle_arshkon,llm,llm,"genai technology stack including frameworks for engineering, guardrails for genai applications, and llm fine tuning. experience working with vectordbs and other data to generative ai and applications. ex",true_positive,broad,true_positive,true_positive
asaniczka_b641f0f2a1e6090b,2024-01,2024,kaggle_asaniczka,llm,llm,"f hands-on experience with at such as python, go, or elixir. hand-on experience fine tuning, and/or llm applications in environments. strong and problem-solving skills, with a proven ability to decompose",true_positive,broad,true_positive,true_positive
arshkon_3904569002,2024-04,2024,kaggle_arshkon,llm,llm,", which spans business (bi), research & areas. as a data engineer, you would own the aws (mlops) to llm and data refreshes. you would have the opportunity to lead the design, and of extremely datasets wo",true_positive,broad,true_positive,true_positive
asaniczka_75b0614860be9324,2024-01,2024,kaggle_asaniczka,llm,llm,"the is a software engineer who has and applications on of llms, worked with a of tools for llm-enabled software, and is with research in engineering as an ml engineer. you've in and how to fine-",true_positive,broad,true_positive,true_positive
arshkon_3903843239,2024-04,2024,kaggle_arshkon,llm,llm, a opportunity for the candidate. responsibilities you’ll lead the of our ml to the of our in-house llm for documentation. you’ll be for the and security of our data pipelines. you’ll be for our infrastr,true_positive,broad,true_positive,true_positive
