term,context,uid,title,company
leading,"he surrounding Colleges (must be available for onsite in Ann Arbor to qualify for the program)
* Work on real and impactful projects that are used by leading retailers and brands
* Gain experience by working on cutting edge and highly scalable systems
* Hone your skills as a full stack, data or UX focused",linkedin_li-4390824187,Software Development Engineer Intern,Criteo
cross-functional,"on legacy code refactoring and modernization. In this role, you will design, develop, and optimize high-performance applications, collaborating with cross-functional teams to deliver innovative solutions.

* Refactor and modernize existing C\+\+ codebase to improve performance, scalability, and maintainability.
*",linkedin_li-4380221192,Software Engineer – Watsonx Data Platform,IBM
cross-functional,"gmented generation (RAG), and multi-agent orchestration to deliver secure, scalable, and impactful machine learning systems. You’ll work closely with cross-functional experts, leveraging frontier AI platforms and the latest in agentic AI tooling.

**Key Responsibilities**
* Design, implement, and optimize AI/ML mod",linkedin_li-4391632769,Artificial Intelligence Engineer – Remote,YO IT Consulting
coach,"s a dedicated customer service team for our Consultants that can address questions around benefits and other resources, as well as a certified Career Coach. You can access a full list of our benefits, programs, support teams and resources within our 'Welcome Packet' as well, which an Apex team member can",linkedin_li-4387955553,Site Reliability Engineer,Jobs via Dice
leadership,"ing community is essential in driving our success.

**Why Join Us?**
 To shape the future of travel, people must come first. Guided by our Values and Leadership Agreements, we foster an open culture where everyone belongs, differences are celebrated and know that when one of us wins, we all win.

 We provide",linkedin_li-4381096201,iOS Engineer II - Air Shopping,Expedia Group
leading,"use modern development methodologies and employ user-centered design, analytics, and machine learning tools to drive innovation in healthcare. Using leading-edge technologies and languages like JS, TS, and C#, you’ll invent better ways to reduce medical errors, streamline record sharing between hospitals,",linkedin_li-3986118115,Software Engineer,Epic
cross-functional,"irements
* Identify opportunities to improve data quality, reliability, and efficiency through automation and process enhancements
* Collaborate with cross-functional teams to support analytics, reporting, and data science initiatives
* Ensure data security, governance, and compliance best practices are followed
*",linkedin_li-4390706147,Data Engineer,Jobs via Dice
cross-functional,"oviding schedule, cost, and progress updates while delivering on technical requirements.
* Communicate clearly, work well both independently and with cross-functional teams, and contribute to continuous improvement.

**Qualifications**
* Bachelor’s degree in Electrical Engineering or Computer Engineering
* 0–2 year",linkedin_li-4395160854,Test Engineer,Leonardo DRS
program management,"scenarios for both internal Microsoft platforms and customer-facing services.

 Collaborate closely with partner teams such as security, operations, program management, and compliance to deliver end-to-end solutions.

 Investigate and resolve live-site issues, contributing to strong operational excellence and servic",linkedin_li-4391679747,Software Engineer II - CTJ - Poly,Jobs via Dice
team of 6,"otation and debugging
* Project Slingshot (Open-Weights Models) — fine-tuning, online inference, and batch inference for open-weights LLMs

 We are a team of 6 engineers in a high-growth phase — every AI product team at DoorDash is building with GenAI and we need to scale our infrastructure to match.

**Abou",linkedin_li-4378116795,"Software Engineer, Machine Learning Infrastructure",DoorDash
leadership,"pertise in applying technical standards and methodologies to solve challenges in creative ways
* Collaborative team player eager to provide technical leadership and positioning others for success
* Thorough knowledge of technology trends and willingness to champion new ideas and process improvements
* Commitm",linkedin_li-4387505426,Embedded Software Engineer,General Dynamics Mission Systems
cross-functional,"gmented generation (RAG), and multi-agent orchestration to deliver secure, scalable, and impactful machine learning systems. You’ll work closely with cross-functional experts, leveraging frontier AI platforms and the latest in agentic AI tooling.

**Key Responsibilities**
* Design, implement, and optimize AI/ML mod",linkedin_li-4392149092,Machine Learning Engineer – Remote,YO IT Consulting
mentor,"rvice capabilities within GitHub Enterprise Cloud, including AI-powered assistants to reduce developer friction and improve productivity.
* Train and mentor developers on CI/CD best practices and effective use of AI coding assistants to accelerate feature delivery.
* Collaborate with DevOps Tools and Auto",linkedin_li-4393299877,DevOps Engineer,Delta Dental Ins.
leading,"ort are Epic customers. Our community includes major systems like the Mayo Clinic, Johns Hopkins, Cleveland Clinic, and Kaiser Permanente, as well as leading academic medical centers at the University of Wisconsin, University of Michigan, University of California, University of Texas, The Ohio State Univer",linkedin_li-4363407597,Software Developer (Entry Level),Epic
mentoring,". Stipend ($50/week) provided during COVID work from home.
* Paid Training (CodeAcademy, Coursera,NoFluffJustStuff, Google DevFest, pre-paid courses, mentoring).
* FREE snacks/drinks -Multiple varieties of soft drinks, juices, coffee, tea, Gatorade, beer, wine \& regular social gatherings.

 EAI has NEVER HA",linkedin_li-4385791833,Entry Level Software Developer,EAI Technologies
leading,"ower System Engineer**
**Location** 
 : NY- Rochester, NY -Binghamton, CT – Orange, ME- Augusta, ME- Portland

**Work type** 
 : Office

 Avangrid, a leading U.S. energy company with more than 3\.4 million electric and natural gas customers across New York and New England, is seeking a Power System Enginee",linkedin_li-4381661827,Power System Engineer,Avangrid
cross-functional,"Software Engineer to design, implement, and optimize software systems for our autonomous surface vessels. This role will involve working closely with cross-functional teams to develop robust software solutions that meet the unique challenges of maritime operations.

**Responsibilities**
* Design, develop, and maint",linkedin_li-4064914721,Systems Software Engineer,Saronic Technologies
leading,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Amtex Enterprises, is seeking the following. Apply via Dice today!",linkedin_li-4390030263,AI/ML Engineer,Amtex Enterprises
leading,"ing with you!

**About ManpowerGroup, Parent Company of: Manpower, Experis, Talent Solutions, and Jefferson Wells.**
 ManpowerGroup® (NYSE: MAN), the leading global workforce solutions company, helps organizations transform in a fast-changing world of work by sourcing, assessing, developing, and managing t",linkedin_li-4387774868,Site Reliability Engineer (SRE),Experis
coaching,"ployee resource groups, and mentoring.
* Plan Ahead! Plan for those big moments in life with benefits like fertility/IVF/adoption assistance, college coaching, national discount programs, interactive monthly financial workshops, free financial coaching, and more. You can also start a savings account or cons",linkedin_li-4389327417,Java Software Engineer,State Farm
leading,"ort are Epic customers. Our community includes major systems like the Mayo Clinic, Johns Hopkins, Cleveland Clinic, and Kaiser Permanente, as well as leading academic medical centers at the University of Wisconsin, University of Michigan, University of California, University of Texas, The Ohio State Univer",linkedin_li-3986112639,Software Engineer,Epic
leading,". Leidos is seeking a Cloud Engineer across AWS, Azure, Google, and Oracle clouds. This an exciting opportunity to use your experience to modernize a leading, global-scale multi-cloud environment in support of a critical mission, supporting USAF system resiliency, security, and cost effectiveness.

**Locat",linkedin_li-4391907763,Cloud Engineer,Leidos
leadership,"pment, systems engineering, and mission-driven technical solutions.

 We are a Service Disabled Veteran-Owned Small Business (SDVOSB) with a hands-on leadership team that understands the work and prioritizes flexibility, strong compensation, and long-term stability for our employees.

**Our compensation model",linkedin_li-4391794264,Job TitleTS//SCI Software & Systems Engineer (Polygraph) | Up to $25K Sign-On Bonus,"TTG Solutions, Inc."
strategic,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Strategic Staffing Solutions, is seeking the following. Apply via Dice today!

**STRATEGIC STAFFING SOLUTIONS HAS AN OPENING!**
**This is a Contract Opportunit",linkedin_li-4388605373,Software Engineer - SparkFlow Framework,Strategic Staffing Solutions
leading,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, AaraTechnologies Inc, is seeking the following. Apply via Dice today",linkedin_li-4387534576,QA ENGINEER,AaraTechnologies Inc
leading,"ort are Epic customers. Our community includes major systems like the Mayo Clinic, Johns Hopkins, Cleveland Clinic, and Kaiser Permanente, as well as leading academic medical centers at the University of Wisconsin, University of Michigan, University of California, University of Texas, The Ohio State Univer",linkedin_li-3986111800,Software Engineer,Epic
leading,"ort are Epic customers. Our community includes major systems like the Mayo Clinic, Johns Hopkins, Cleveland Clinic, and Kaiser Permanente, as well as leading academic medical centers at the University of Wisconsin, University of Michigan, University of California, University of Texas, The Ohio State Univer",linkedin_li-3986116436,Software Engineer,Epic
leading,"prietary and trade secret information and access to information technology systems; and
* Exercising sound judgment.

**About TikTok**
 TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angel",linkedin_li-4299905975,Machine Learning Engineer Graduate - Global E-commerce Recommendation/Search - 2026 Start (PhD),TikTok
leading,"prietary and trade secret information and access to information technology systems; and
* Exercising sound judgment.

**About TikTok**
 TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angel",linkedin_li-4281121262,Software Engineer Graduate (Monetization Technology - Brand Ads) - 2026 Start (BS/MS),TikTok
leadership,"munication skills in a dynamic environment.

 Embrace and advocate change for optimal solutions and outcomes.

 Participate in community outreach and leadership development opportunities.

 Complete mandatory training and employ learnings in daily activities.

**Who You Are:**
 Currently a junior or senior ma",linkedin_li-4390628028,2026 Summer Intern - Software Engineer,CIBC US
strategic,"n technology leader reimagining the supply chain with its end-to-end, AI-powered robotic and software platform. Symbotic reinvents the warehouse as a strategic asset for the world’s largest retail, wholesale, and food \& beverage companies. Applying next-gen technology, high-density storage and machine learn",linkedin_li-4389276353,Software Test Automation Engineer,Symbotic
leading,"ort are Epic customers. Our community includes major systems like the Mayo Clinic, Johns Hopkins, Cleveland Clinic, and Kaiser Permanente, as well as leading academic medical centers at the University of Wisconsin, University of Michigan, University of California, University of Texas, The Ohio State Univer",linkedin_li-4321363978,Software Developer (Entry Level),Epic
stakeholder,"velop and maintain applications using C# and the .NET framework to meet business needs.

 • Design and implement scalable software solutions based on stakeholder requirements.

 • Troubleshoot, debug, and enhance existing systems to ensure optimal performance.

 • Collaborate with team members to plan and prio",linkedin_li-4391581724,Software Developer,Robert Half
leading,"e change. That's the power of true partnership. TEKsystems is an Allegis Group company.

**About TEKsystems And TEKsystems Global Services**
 We're a leading provider of business and technology services. We accelerate business transformation for our customers. Our expertise in strategy, design, execution a",linkedin_li-4387528841,ML Engineer/MLOps,Jobs via Dice
leading,"ts.**
**Remote position. Once in a month onsite.**
**Available rate : $80/hr - $85/hr on W2 (without benefits)**
**About R Systems:**
 R Systems is a leading digital product engineering company that designs and develops chip-to-cloud software products, platforms, and digital experiences that empower its cl",linkedin_li-4388591104,"GEN AI / AI/ML Engineer - San Jose, CA (Hybrid)",R Systems
budget,"real user impact.
* Modern stack, strong engineering culture, and opportunities to influence architecture.
* Support for growth: mentoring, learning budget, and challenging problems at scale.

**About Andiamo**
 Talent Partners for the AI Revolution. As a globally recognized staffing and consulting firm,",linkedin_li-4380627846,Backend Engineer - AI precision medicine company,Andiamo
budget,"ocal needs and ensure fairness globally.

* Distributed work environment with twice-yearly team sprints in person
* Personal learning and development budget of USD 2,000 per year
* Annual compensation review
* Recognition rewards
* Annual holiday leave
* Maternity and paternity leave
* Team Member Assista",linkedin_li-4389962309,Software Engineer - Python - Cloud - graduate level,Canonical
mentoring,"equirements.
* Utilizing curiosity, dedication, and a one-team focus to enable the most creative solutions to meet or excced customer expectations.
* Mentoring junior engineers, sharing knowledge, and fostering a culture of innovation, teamwork, and continuous learning.
* Researching emerging technologies (e",linkedin_li-4391670814,Cyber Software Engineer,Jobs via Dice
leading,"management companies; hospitals; lifestyle communities; senior living facilities; stadiums; and theme parks. You can learn more about us by visiting Leading Hospitality Management Software \| Agilysys.

**About The Role**
 We are looking for a Software Engineer to help design and deliver intelligent, data",linkedin_li-4392916709,Software Engineer - CRS,Agilysys
leading,"tartup and oftentimes that comes with wearing many hats, which means working across front-end and back-end as well as potentially participating in or leading system architecture or DevOps decision-making.
* As the organization scales, you will have the opportunity to scale into a leadership role if your pe",linkedin_li-4387112100,Full Stack Developer,Zealthy
